symptom_id,weight,description
chest_pain,1.0,Standard weight — highly specific for cardiac events
palpitations,0.8,Moderately specific — many non-cardiac causes
syncope,0.9,High weight — often indicates serious arrhythmia
dizziness,0.6,Lower weight — very non-specific symptom
dyspnea,0.7,Moderately specific in cardiac context
nausea,0.5,Non-specific — lower weight
diaphoresis,0.9,High weight — strongly associated with ACS
fatigue,0.4,Non-specific — lowest weight
presyncope,0.7,Moderate weight
orthopnea,0.8,Fairly specific for heart failure
htn,0.9,Strong risk factor for most cardiac conditions
dm,0.7,Significant risk factor
cad,1.0,Highest risk — known disease
young_age,0.8,Reduces prior probability of most conditions
smoking,0.7,Significant risk factor
family_hx,0.6,Moderate risk factor
hyperlipidemia,0.6,Moderate risk factor
obesity,0.5,Lower weight risk factor
ckd,0.5,Comorbidity — moderate weight
prior_mi,0.9,Very strong risk factor
asymptomatic,0.8,Reduces urgency significantly